,id,name,picture_url
0,1009736,Yellow Claw,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1,1009737,Yellowjacket (Hank Pym),http://i.annihil.us/u/prod/marvel/i/mg/b/a0/4c002df3dd41f.jpg
2,1010996,Yellowjacket (Rita DeMara),http://i.annihil.us/u/prod/marvel/i/mg/9/f0/5398a8a4b8ca9.jpg
3,1011542,Yondu,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
4,1010698,Young Avengers,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/50fec602eed20.jpg
5,1011277,Young X-Men,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
