,id,name,picture_url
0,1011050,D'Ken Neramani,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1,1009258,Dagger,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/528d31c9eac10.jpg
2,1010774,Daily Bugle,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4ce5a31605544.jpg
3,1010719,Daimon Hellstrom,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4ce5a2959ba25.jpg
4,1011001,Daken,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/520289a920fd9.jpg
5,1011333,Dakota North,http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4ce5a6888f769.jpg
6,1009259,Damage Control,http://i.annihil.us/u/prod/marvel/i/mg/5/00/4c00404b5e1a2.jpg
7,1009453,Dani Moonstar,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4ce5a0614487a.jpg
8,1010776,Danny Rand,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4c00374b1008a.jpg
9,1009262,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/d/50/50febb79985ee.jpg
10,1017292,Daredevil (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
11,1017312,Daredevil (Marvel Heroes),http://i.annihil.us/u/prod/marvel/i/mg/6/00/5239be8a1c152.jpg
12,1010919,Daredevil (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/6/a0/53176b9e705dc.jpg
13,1011306,Dargo Ktor,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/4ce5a6299ade4.jpg
14,1011367,Dark Avengers,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/526032c703d06.jpg
15,1010907,Dark Beast,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/52602f32efdab.jpg
16,1009265,Dark Phoenix,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59f6c7e332.jpg
17,1011387,Dark X-Men,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4ce5a7160a79b.jpg
18,1011020,Darkhawk,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5269553f4bc6a.jpg
19,1009266,Darkstar,http://i.annihil.us/u/prod/marvel/i/mg/d/20/4ce59f77ea6f1.jpg
